2026-07-03 10:15:57.214 [main] INFO  com.example.EndProjectApplication-Starting EndProjectApplication using Java 23.0.2 with PID 39404 (D:\study\Spring实训大作业\web-end-project\end-project\target\classes started by ssfeng in D:\study\Spring实训大作业\web-end-project\end-project)
2026-07-03 10:15:57.215 [main] INFO  com.example.EndProjectApplication-No active profile set, falling back to 1 default profile: "default"
2026-07-03 10:15:58.234 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-07-03 10:15:58.253 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-07-03 10:15:58.255 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-07-03 10:15:58.256 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.55]
2026-07-03 10:15:58.325 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-07-03 10:15:58.327 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1067 ms
2026-07-03 10:15:59.554 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-07-03 10:15:59.582 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-07-03 10:15:59.588 [main] INFO  com.example.EndProjectApplication-Started EndProjectApplication in 2.714 seconds (process running for 3.234)
2026-07-03 10:16:27.681 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-03 10:16:27.681 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-07-03 10:16:27.682 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2026-07-03 10:16:27.750 [http-nio-8080-exec-1] INFO  com.example.controller.LoginController-登录认证SysUser(id=null, username=admin, password=123456, realName=null, userType=null, phone=null, email=null, avatar=null, majorId=null, enterpriseId=null, status=null, createTime=null, updateTime=null, isDeleted=null)
2026-07-03 10:16:27.765 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-07-03 10:16:27.877 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@48747502
2026-07-03 10:16:27.879 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-07-03 10:16:27.952 [http-nio-8080-exec-1] INFO  com.example.service.impl.SysUserServiceImpl-登陆成功SysUser(id=1, username=admin, password=e10adc3949ba59abbe56e057f20f883e, realName=系统管理员, userType=admin, phone=13800138000, email=admin@jobsystem.com, avatar=/avatar/admin.png, majorId=null, enterpriseId=null, status=1, createTime=2026-06-26T14:17:28, updateTime=2026-06-27T20:38:30, isDeleted=0)
2026-07-03 10:16:27.952 [http-nio-8080-exec-1] INFO  com.example.controller.LoginController-用户登录成功: userId=1, userType=admin, homePath=/admin/dashboard
2026-07-03 10:16:28.013 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌合法
2026-07-03 10:16:28.038 [http-nio-8080-exec-2] INFO  com.example.controller.StatController-查询全局就业总览成功: totalStudents=3, employedStudents=1, employmentRate=33.33%, totalJobs=4, totalEnterprises=1
2026-07-03 10:17:48.770 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌错误
2026-07-03 10:17:48.770 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌错误
2026-07-03 10:17:48.785 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌错误
2026-07-03 10:17:48.786 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌错误
2026-07-03 10:17:48.795 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌错误
2026-07-03 10:17:48.810 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.819 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.823 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.830 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.832 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.864 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.864 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.876 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.879 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.886 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.891 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.899 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.902 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.907 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.912 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.919 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.924 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.932 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.937 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.944 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.949 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.955 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.961 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.967 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.973 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.979 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.985 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:48.993 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.000 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.007 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.013 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.019 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.026 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.033 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.041 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.052 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.055 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.064 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.072 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.079 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.086 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.094 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.102 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.110 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.119 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.127 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.134 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.143 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.153 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.162 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.167 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.178 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.188 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.192 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.202 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.208 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.219 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.225 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.235 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.240 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.250 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.255 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.265 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.270 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.280 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.292 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.302 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.312 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.315 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.325 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.335 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.345 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.351 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.361 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.370 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.382 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.387 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.397 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.408 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.419 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.424 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.435 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.445 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.455 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
